Sample 1 - CPU: 100.00 - MEM:   0.70
Sample 2 - CPU:  91.60 - MEM:   0.80
Sample 3 - CPU:  98.00 - MEM:   0.80
Sample 4 - CPU:  85.00 - MEM:   0.70
Sample 5 - CPU:  91.50 - MEM:   0.70
Sample 6 - CPU:  82.50 - MEM:   0.70
Sample 7 - CPU:  85.80 - MEM:   0.80
Sample 8 - CPU:  79.60 - MEM:   0.80
Sample 9 - CPU:  73.80 - MEM:   0.80
Sample 10 - CPU:  75.50 - MEM:   0.80
Sample 11 - CPU:  70.30 - MEM:   0.80
Sample 12 - CPU:  71.80 - MEM:   0.80
Sample 13 - CPU:  67.00 - MEM:   0.80
Sample 14 - CPU:  69.10 - MEM:   0.80
Sample 15 - CPU:  65.20 - MEM:   0.80
Sample 16 - CPU:  67.00 - MEM:   0.90
Sample 17 - CPU:  63.80 - MEM:   0.90
Sample 18 - CPU:  65.30 - MEM:   0.90
Sample 19 - CPU:  62.60 - MEM:   0.90
Sample 20 - CPU:  64.50 - MEM:   0.90
Sample 21 - CPU:  61.40 - MEM:   1.00
Sample 22 - CPU:  60.60 - MEM:   1.10
Sample 23 - CPU:  62.60 - MEM:   1.10
Sample 24 - CPU:  60.00 - MEM:   1.10
Sample 25 - CPU:  62.00 - MEM:   1.10
Sample 26 - CPU:  59.50 - MEM:   1.20
Sample 27 - CPU:  60.50 - MEM:   1.20
Sample 28 - CPU:  58.30 - MEM:   1.20
Sample 29 - CPU:  59.40 - MEM:   1.20
Sample 30 - CPU:  57.20 - MEM:   1.30
Sample 31 - CPU:  57.90 - MEM:   1.30
Sample 32 - CPU:  56.20 - MEM:   1.30
Sample 33 - CPU:  57.00 - MEM:   1.30
Sample 34 - CPU:  55.10 - MEM:   1.30
Sample 35 - CPU:  53.30 - MEM:   1.40
Sample 36 - CPU:  54.00 - MEM:   1.40
Sample 37 - CPU:  52.20 - MEM:   1.40
Sample 38 - CPU:  53.00 - MEM:   1.40
Sample 39 - CPU:  51.60 - MEM:   1.40
Sample 40 - CPU:  52.20 - MEM:   1.50
Sample 41 - CPU:  50.70 - MEM:   1.50
Sample 42 - CPU:  51.30 - MEM:   1.50
Sample 43 - CPU:  49.80 - MEM:   1.50
Sample 44 - CPU:  50.60 - MEM:   1.60
Sample 45 - CPU:  49.20 - MEM:   1.60
Sample 46 - CPU:  50.10 - MEM:   1.60
Sample 47 - CPU:  48.80 - MEM:   1.60
Sample 48 - CPU:  49.20 - MEM:   1.60
Sample 49 - CPU:  48.30 - MEM:   1.60
Sample 50 - CPU:  47.20 - MEM:   1.60
Sample 51 - CPU:  47.80 - MEM:   1.60
Sample 52 - CPU:  47.00 - MEM:   1.60
Sample 53 - CPU:  47.40 - MEM:   1.60
Sample 54 - CPU:  46.40 - MEM:   1.60
Sample 55 - CPU:  46.80 - MEM:   1.60
Sample 56 - CPU:  45.80 - MEM:   1.60
Sample 57 - CPU:  46.20 - MEM:   1.60
Sample 58 - CPU:  45.20 - MEM:   1.60
Sample 59 - CPU:  45.60 - MEM:   1.60
Sample 60 - CPU:  44.70 - MEM:   1.60
Sample 61 - CPU:  45.10 - MEM:   1.60
Sample 62 - CPU:  44.20 - MEM:   1.60
Sample 63 - CPU:  44.60 - MEM:   1.60
Sample 64 - CPU:  43.70 - MEM:   1.60
Sample 65 - CPU:  44.20 - MEM:   1.60
Sample 66 - CPU:  43.50 - MEM:   1.60
Sample 67 - CPU:  42.70 - MEM:   1.60
Sample 68 - CPU:  43.20 - MEM:   1.60
Sample 69 - CPU:  42.40 - MEM:   1.60
Sample 70 - CPU:  43.10 - MEM:   1.60
Sample 71 - CPU:  42.40 - MEM:   1.60
Sample 72 - CPU:  42.70 - MEM:   1.60
Sample 73 - CPU:  42.30 - MEM:   1.60
Sample 74 - CPU:  42.90 - MEM:   1.60
Sample 75 - CPU:  42.20 - MEM:   1.60
Sample 76 - CPU:  42.60 - MEM:   1.60
Sample 77 - CPU:  42.00 - MEM:   1.60
Sample 78 - CPU:  42.30 - MEM:   1.60
Sample 79 - CPU:  41.70 - MEM:   1.60
Sample 80 - CPU:  41.00 - MEM:   1.60
Sample 81 - CPU:  41.30 - MEM:   1.60
Sample 82 - CPU:  40.70 - MEM:   1.60
Sample 83 - CPU:  41.00 - MEM:   1.60
Sample 84 - CPU:  40.40 - MEM:   1.60
Sample 85 - CPU:  40.60 - MEM:   1.60
Sample 86 - CPU:  40.10 - MEM:   1.60
Sample 87 - CPU:  40.50 - MEM:   1.60
Sample 88 - CPU:  40.00 - MEM:   1.60
Sample 89 - CPU:  40.30 - MEM:   1.60
Sample 90 - CPU:  39.90 - MEM:   1.60
Sample 91 - CPU:  40.20 - MEM:   1.60
Sample 92 - CPU:  39.90 - MEM:   1.60
Sample 93 - CPU:  40.20 - MEM:   1.60
Sample 94 - CPU:  39.80 - MEM:   1.60
Sample 95 - CPU:  39.40 - MEM:   1.60
Sample 96 - CPU:  39.60 - MEM:   1.60
Sample 97 - CPU:  39.10 - MEM:   1.60
Sample 98 - CPU:  39.40 - MEM:   1.60
Sample 99 - CPU:  38.90 - MEM:   1.60
Sample 100 - CPU:  39.10 - MEM:   1.60
Sample 101 - CPU:  38.70 - MEM:   1.60
Sample 102 - CPU:  39.00 - MEM:   1.60
Sample 103 - CPU:  38.60 - MEM:   1.60
Sample 104 - CPU:  38.80 - MEM:   1.60
Sample 105 - CPU:  38.50 - MEM:   1.60
Sample 106 - CPU:  38.80 - MEM:   1.60
Sample 107 - CPU:  38.50 - MEM:   1.60
Sample 108 - CPU:  38.10 - MEM:   1.60
Sample 109 - CPU:  38.30 - MEM:   1.60
Sample 110 - CPU:  37.90 - MEM:   1.60
Sample 111 - CPU:  38.10 - MEM:   1.60
Sample 112 - CPU:  37.70 - MEM:   1.60
Sample 113 - CPU:  37.90 - MEM:   1.60
Sample 114 - CPU:  37.60 - MEM:   1.60
Sample 115 - CPU:  37.80 - MEM:   1.60
Sample 116 - CPU:  37.40 - MEM:   1.60
Sample 117 - CPU:  37.60 - MEM:   1.60
Sample 118 - CPU:  37.20 - MEM:   1.60
Sample 119 - CPU:  37.50 - MEM:   1.60
Sample 120 - CPU:  37.20 - MEM:   1.60
Sample 121 - CPU:  36.90 - MEM:   1.60
Sample 122 - CPU:  37.10 - MEM:   1.60
Sample 123 - CPU:  36.80 - MEM:   1.60
Sample 124 - CPU:  37.00 - MEM:   1.60
Sample 125 - CPU:  36.70 - MEM:   1.60
Sample 126 - CPU:  36.90 - MEM:   1.60
Sample 127 - CPU:  36.60 - MEM:   1.60
Sample 128 - CPU:  36.80 - MEM:   1.60
Sample 129 - CPU:  36.60 - MEM:   1.60
Sample 130 - CPU:  36.80 - MEM:   1.60
Sample 131 - CPU:  36.50 - MEM:   1.60
Sample 132 - CPU:  36.70 - MEM:   1.60
Sample 133 - CPU:  36.40 - MEM:   1.60
Sample 134 - CPU:  36.10 - MEM:   1.60
Sample 135 - CPU:  36.30 - MEM:   1.60
Sample 136 - CPU:  36.00 - MEM:   1.60
Sample 137 - CPU:  36.30 - MEM:   1.60
Sample 138 - CPU:  36.00 - MEM:   1.60
Sample 139 - CPU:  36.20 - MEM:   1.60
Sample 140 - CPU:  35.90 - MEM:   1.60
Sample 141 - CPU:  36.10 - MEM:   1.60
Sample 142 - CPU:  35.90 - MEM:   1.60
Sample 143 - CPU:  36.10 - MEM:   1.60
Sample 144 - CPU:  35.90 - MEM:   1.60
Sample 145 - CPU:  36.10 - MEM:   1.60
Sample 146 - CPU:  35.80 - MEM:   1.60
